Date,Open,High,Low,Close,Volume,Adj Close
2010-01-15,3224.15,3224.15,3224.15,3224.15,000,3224.15
2010-01-14,3215.55,3215.55,3215.55,3215.55,000,3215.55
2010-01-13,3172.66,3172.66,3172.66,3172.66,000,3172.66
2010-01-12,3273.97,3273.97,3273.97,3273.97,000,3273.97
2010-01-11,3212.75,3212.75,3212.75,3212.75,000,3212.75
2010-01-08,3196.00,3196.00,3196.00,3196.00,000,3196.00
2010-01-07,3192.78,3192.78,3192.78,3192.78,000,3192.78
2010-01-06,3254.22,3254.22,3254.22,3254.22,000,3254.22
2010-01-05,3282.18,3282.18,3282.18,3282.18,000,3282.18
2010-01-04,3243.76,3243.76,3243.76,3243.76,000,3243.76
2009-12-31,3277.14,3277.14,3277.14,3277.14,000,3277.14
2009-12-30,3262.60,3262.60,3262.60,3262.60,000,3262.60
2009-12-29,3211.76,3211.76,3211.76,3211.76,000,3211.76
2009-12-28,3188.78,3188.78,3188.78,3188.78,000,3188.78
2009-12-25,3141.35,3141.35,3141.35,3141.35,000,3141.35
2009-12-24,3153.41,3153.41,3153.41,3153.41,000,3153.41
2009-12-23,3073.78,3073.78,3073.78,3073.78,000,3073.78
2009-12-22,3050.52,3050.52,3050.52,3050.52,000,3050.52
2009-12-21,3122.97,3122.97,3122.97,3122.97,000,3122.97
2009-12-18,3113.89,3113.89,3113.89,3113.89,000,3113.89
2009-12-17,3179.08,3179.08,3179.08,3179.08,000,3179.08
2009-12-16,3255.21,3255.21,3255.21,3255.21,000,3255.21
2009-12-15,3274.46,3274.46,3274.46,3274.46,000,3274.46
2009-12-14,3302.90,3302.90,3302.90,3302.90,000,3302.90
2009-12-11,3247.32,3247.32,3247.32,3247.32,000,3247.32
2009-12-10,3254.26,3254.26,3254.26,3254.26,000,3254.26
2009-12-09,3239.57,3239.57,3239.57,3239.57,000,3239.57
2009-12-08,3296.66,3296.66,3296.66,3296.66,000,3296.66
2009-12-07,3331.90,3331.90,3331.90,3331.90,000,3331.90
2009-12-04,3317.04,3317.04,3317.04,3317.04,000,3317.04
2009-12-03,3264.63,3264.63,3264.63,3264.63,000,3264.63
2009-12-02,3269.75,3269.75,3269.75,3269.75,000,3269.75
2009-12-01,3235.36,3235.36,3235.36,3235.36,000,3235.36
2009-11-30,3195.30,3195.30,3195.30,3195.30,000,3195.30
2009-11-27,3096.26,3096.26,3096.26,3096.26,000,3096.26
2009-11-26,3170.98,3170.98,3170.98,3170.98,000,3170.98
2009-11-25,3290.17,3290.17,3290.17,3290.17,000,3290.17
2009-11-24,3223.53,3223.53,3223.53,3223.53,000,3223.53
2009-11-23,3338.66,3338.66,3338.66,3338.66,000,3338.66
2009-11-20,3308.35,3308.35,3308.35,3308.35,000,3308.35
2009-11-19,3320.61,3320.61,3320.61,3320.61,000,3320.61
2009-11-18,3303.23,3303.23,3303.23,3303.23,000,3303.23
2009-11-17,3282.89,3282.89,3282.89,3282.89,000,3282.89
2009-11-16,3275.05,3275.05,3275.05,3275.05,000,3275.05
2009-11-13,3187.65,3187.65,3187.65,3187.65,000,3187.65
2009-11-12,3172.95,3172.95,3172.95,3172.95,000,3172.95
2009-11-11,3175.19,3175.19,3175.19,3175.19,000,3175.19
2009-11-10,3178.61,3178.61,3178.61,3178.61,000,3178.61
2009-11-09,3175.58,3175.58,3175.58,3175.58,000,3175.58
2009-11-06,3164.04,3164.04,3164.04,3164.04,000,3164.04
2009-11-05,3155.05,3155.05,3155.05,3155.05,000,3155.05
2009-11-04,3128.54,3128.54,3128.54,3128.54,000,3128.54
2009-11-03,3114.23,3114.23,3114.23,3114.23,000,3114.23
2009-11-02,3076.65,3076.65,3076.65,3076.65,000,3076.65
2009-10-30,2995.85,2995.85,2995.85,2995.85,000,2995.85
2009-10-29,2960.47,2960.47,2960.47,2960.47,000,2960.47
2009-10-28,3031.33,3031.33,3031.33,3031.33,000,3031.33
2009-10-27,3021.46,3021.46,3021.46,3021.46,000,3021.46
2009-10-26,3109.57,3109.57,3109.57,3109.57,000,3109.57
